"country","dpc","pop2022"
"Angola","0.2000","35588987"
"Madagascar","0.2000","29611714"
"Ivory Coast","0.2000","28160542"
"Cambodia","0.2000","16767842"
"Zimbabwe","0.2000","16320537"
"Haiti","0.2000","11584996"
"Mauritania","0.2000","4736139"
"Djibouti","0.2000","1120849"
"Comoros","0.2000","836774"
"Solomon Islands","0.2000","724273"
"Vanuatu","0.2000","326740"
"Kiribati","0.2000","131232"
"Micronesia","0.2000","114164"
"Ethiopia","0.1000","123379924"
"DR Congo","0.1000","99010212"
"Tanzania","0.1000","65497748"
"Ghana","0.1000","33475870.0000"
"Mozambique","0.1000","32969518.0000"
"Cameroon","0.1000","27914536"
"Burkina Faso","0.1000","22673762"
"Mali","0.1000","22593590"
"Zambia","0.1000","20017675"
"Chad","0.1000","17723315"
"Senegal","0.1000","17316449"
"Guinea","0.1000","13859341"
"Rwanda","0.1000","13776698"
"Benin","0.1000","13352864"
"Burundi","0.1000","12889576"
"Papua New Guinea","0.1000","10142619"
"Togo","0.1000","8848699"
"Sierra Leone","0.1000","8605718"
"Republic of the Congo","0.1000","5970424"
"Eritrea","0.1000","3684032"
"Gambia","0.1000","2705992"
"Lesotho","0.1000","2305825"
"Guinea-Bissau","0.1000","2105566"
"Eswatini","0.1000","1201670"
"Niger","0","26207977"
"Malawi","0","20405317"
"Somalia","0","17597511"
"Liberia","0","5302681"
