"rank","country","iq","pop2022"
"90","Samoa","83.9600","222382"
"91","Kiribati","83.9600","131232"
"92","Micronesia","83.9600","114164"
"93","Tonga","83.9600","106858"
"94","Marshall Islands","83.9600","41569"
"95","Cook Islands","83.9600","17011"
"96","Cuba","83.9000","11212191"
"97","Bahrain","83.6000","1472233"
"98","Brazil","83.3800","215313498"
"99","Guyana","83.2300","808726"
"100","Colombia","83.1300","51874024"
"101","Venezuela","82.9900","28301696"
"102","Cayman Islands","82.2400","68706"
"103","Afghanistan","82.1200","41128771"
"104","Haiti","82.1000","11584996"
"105","Dominican Republic","82.0500","11228821"
"106","United Arab Emirates","82.0500","9441129"
"107","Puerto Rico","81.9900","3252407"
"108","North Macedonia","81.9100","2093599.0000"
"109","Albania","81.7500","2842321"
"110","Lebanon","81.7000","5489739"
"111","Philippines","81.6400","115559009"
"112","Peru","81.4400","34049588"
"113","Northern Mariana Islands","81.3600","49551"
"114","Laos","80.9900","7529475"
"115","Libya","80.9200","6812341"
"116","Qatar","80.7800","2695122"
"117","Jordan","80.7000","11285869"
"118","Maldives","80.5400","523787.0000"
"119","Iran","80.0100","88550570"
"120","Pakistan","80","235824862"
"121","Grenada","79.3400","125438"
"122","Tunisia","79.2200","12356117"
"123","Kyrgyzstan","79.0900","6630623"
"124","Panama","79","4408581"
"125","Sudan","78.8700","46874204"
"126","Chad","78.8700","17723315"
"127","Seychelles","78.7600","107118"
"128","Oman","78.7000","4576298"
"129","Kuwait","78.6400","4268873"
"130","Indonesia","78.4900","275501339"
"131","Papua New Guinea","78.4900","10142619"
"132","Timor-Leste","78.4900","1341296"
"133","Ecuador","78.2600","18001000"
"134","Palestine","77.6900","5250072"
"135","Senegal","77.3700","17316449"
"136","Comoros","77.0700","836774"
"137","Madagascar","76.7900","29611714"
"138","British Virgin Islands","76.6900","31305"
"139","Bolivia","76.5300","12224110"
"140","Uganda","76.4200","47249585"
"141","Saudi Arabia","76.3600","36408820"
"142","Egypt","76.3200","110990103"
"143","India","76.2400","1417173173"
"144","Algeria","76","44903225"
"145","Kenya","75.2000","54027487"
"146","Angola","75.1000","35588987"
"147","Jamaica","75.0800","2827377"
"148","Tanzania","74.9500","65497748"
"149","Syria","74.4100","22125249"
"150","Bangladesh","74.3300","171186372"
"151","Zimbabwe","74.0100","16320537"
"152","Burkina Faso","73.8000","22673762"
"153","Saint Lucia","73.6800","179857"
"154","Mozambique","72.5000","32969518.0000"
"155","Burundi","72.0900","12889576"
"156","Niger","70.8200","26207977"
"157","Antigua and Barbuda","70.4800","93763"
"158","Saint Kitts and Nevis","70.4800","47657"
"159","Rwanda","69.9500","13776698"
"160","Benin","69.7100","13352864"
"161","Malawi","69.7000","20405317"
"162","El Salvador","69.6300","6336392"
"163","Botswana","69.4500","2630296"
"164","South Africa","68.8700","59893885"
"165","Lesotho","68.8700","2305825"
"166","Eswatini","68.8700","1201670"
"167","Eritrea","68.7700","3684032"
"168","Zambia","68.4300","20017675"
"169","Ethiopia","68.4200","123379924"
"170","Djibouti","68.4100","1120849"
"171","Nigeria","67.7600","218541212"
